venta_id,ticket_id,fecha,tienda_id,product_id,cantidad,precio_unitario
V000083,T000082,2025-03-01,CDMX,P060,1,850.0
V000084,T000084,2025-03-01,CDMX,P041,1,35.0
V000085,T000084,2025-03-01,CDMX,P043,1,18.0
V000086,T000086,2025-03-01,CDMX,P022,2,150.0
V000087,T000086,2025-03-01,CDMX,P010,3,120.0
V000088,T000088,2025-03-01,CDMX,P100,1,1250.0
V000089,T000088,2025-03-01,CDMX,P102,3,45.0
V000090,T000088,2025-03-01,CDMX,P084,1,18.0
V000091,T000091,2025-03-01,CDMX,P009,3,85.0
V000092,T000091,2025-03-01,CDMX,P101,2,35.0
V000093,T000093,2025-03-01,CDMX,P042,3,28.0
V000094,T000093,2025-03-01,CDMX,P043,1,18.0
V000095,T000095,2025-03-01,CDMX,P042,1,28.0
V000096,T000095,2025-03-01,CDMX,P043,1,18.0
V000097,T000097,2025-03-01,CDMX,P064,1,38.0
V000098,T000097,2025-03-01,CDMX,P061,1,165.0
V000099,T000099,2025-03-01,CDMX,P022,1,150.0
V000100,T000099,2025-03-01,CDMX,P023,1,40.0
V000101,T000101,2025-03-01,CDMX,P062,2,320.0
V000102,T000102,2025-03-01,CDMX,P021,3,85.0
V000103,T000102,2025-03-01,CDMX,P023,1,40.0
V000104,T000104,2025-03-01,CDMX,P106,2,55.0
V000105,T000104,2025-03-01,CDMX,P045,1,45.0
V000106,T000106,2025-03-01,CDMX,P063,1,45.0
V000107,T000106,2025-03-01,CDMX,P060,1,850.0
V000108,T000108,2025-03-01,CDMX,P041,1,35.0
V000109,T000108,2025-03-01,CDMX,P043,2,18.0
V000110,T000110,2025-03-01,CDMX,P042,3,28.0
V000111,T000111,2025-03-01,CDMX,P041,1,35.0
V000112,T000111,2025-03-01,CDMX,P043,2,18.0
V000113,T000113,2025-03-01,CDMX,P063,2,45.0
V000114,T000113,2025-03-01,CDMX,P060,3,850.0
V000115,T000115,2025-03-01,CDMX,P104,3,95.0
V000116,T000115,2025-03-01,CDMX,P010,1,120.0
V000117,T000117,2025-03-01,CDMX,P005,2,65.0
V000118,T000117,2025-03-01,CDMX,P084,1,18.0
V000119,T000119,2025-03-01,CDMX,P041,2,35.0
V000120,T000119,2025-03-01,CDMX,P043,1,18.0
V000121,T000119,2025-03-01,CDMX,P062,1,320.0
V000122,T000122,2025-03-01,CDMX,P102,2,45.0
V000123,T000122,2025-03-01,CDMX,P061,3,165.0
V000124,T000124,2025-03-01,CDMX,P061,1,165.0
V000125,T000124,2025-03-01,CDMX,P002,1,180.0
V000126,T000126,2025-03-01,MTY,P023,1,40.0
V000127,T000126,2025-03-01,MTY,P048,3,180.0
V000128,T000128,2025-03-01,MTY,P043,2,18.0
V000129,T000129,2025-03-01,MTY,P041,1,35.0
V000130,T000129,2025-03-01,MTY,P043,2,18.0
V000131,T000129,2025-03-01,MTY,P065,2,30.0
V000132,T000132,2025-03-01,MTY,P100,1,1250.0
V000133,T000133,2025-03-01,MTY,P006,3,12.0
V000134,T000134,2025-03-01,MTY,P086,2,650.0
V000135,T000135,2025-03-01,MTY,P064,2,38.0
V000136,T000135,2025-03-01,MTY,P061,1,165.0
V000137,T000137,2025-03-01,MTY,P064,1,38.0
V000138,T000137,2025-03-01,MTY,P061,2,165.0
V000139,T000139,2025-03-01,MTY,P041,1,35.0
V000140,T000140,2025-03-01,MTY,P041,3,35.0
V000141,T000140,2025-03-01,MTY,P043,1,18.0
V000142,T000140,2025-03-01,MTY,P047,2,95.0
V000143,T000143,2025-03-01,MTY,P083,3,65.0
V000144,T000143,2025-03-01,MTY,P040,1,1450.0
V000145,T000145,2025-03-01,MTY,P025,3,35.0
V000146,T000146,2025-03-01,MTY,P006,1,12.0
V000147,T000147,2025-03-01,MTY,P021,1,85.0
V000148,T000148,2025-03-01,MTY,P041,2,35.0
V000149,T000148,2025-03-01,MTY,P043,1,18.0
V000150,T000150,2025-03-01,MTY,P080,3,280.0
V000151,T000151,2025-03-01,MTY,P047,3,95.0
V000152,T000151,2025-03-01,MTY,P009,1,85.0
V000153,T000153,2025-03-02,CUN,P102,2,45.0
V000154,T000154,2025-03-02,CUN,P100,1,1250.0
V000155,T000154,2025-03-02,CUN,P102,2,45.0
V000156,T000154,2025-03-02,CUN,P046,1,280.0
V000157,T000157,2025-03-02,CUN,P082,2,25.0
V000158,T000158,2025-03-02,CUN,P101,2,35.0
V000159,T000159,2025-03-02,CUN,P048,2,180.0
V000160,T000159,2025-03-02,CUN,P101,1,35.0
V000161,T000161,2025-03-02,CUN,P046,3,280.0
V000162,T000161,2025-03-02,CUN,P065,1,30.0
V000163,T000163,2025-03-02,CUN,P060,2,850.0
V000164,T000163,2025-03-02,CUN,P022,1,150.0
V000165,T000165,2025-03-02,CUN,P022,2,150.0
V000166,T000165,2025-03-02,CUN,P027,1,320.0
V000167,T000167,2025-03-02,CUN,P041,1,35.0
V000168,T000167,2025-03-02,CUN,P043,1,18.0
V000169,T000167,2025-03-02,CUN,P012,2,980.0
V000170,T000170,2025-03-02,CUN,P024,2,6.0
V000171,T000170,2025-03-02,CUN,P085,2,980.0
V000172,T000172,2025-03-02,CUN,P002,2,180.0
V000173,T000173,2025-03-02,CUN,P005,2,65.0
V000174,T000173,2025-03-02,CUN,P027,2,320.0
V000175,T000175,2025-03-02,CUN,P061,1,165.0
V000176,T000176,2025-03-02,CUN,P024,1,6.0
V000177,T000176,2025-03-02,CUN,P003,3,8.5
V000178,T000178,2025-03-02,CUN,P041,2,35.0
V000179,T000179,2025-03-02,CUN,P066,2,55.0
V000180,T000180,2025-03-02,CUN,P082,1,25.0
V000181,T000180,2025-03-02,CUN,P048,2,180.0
V000182,T000182,2025-03-02,CUN,P042,1,28.0
V000183,T000182,2025-03-02,CUN,P043,1,18.0
V000184,T000182,2025-03-02,CUN,P022,2,150.0
V000185,T000185,2025-03-02,CUN,P064,1,38.0
V000186,T000185,2025-03-02,CUN,P061,3,165.0
V000187,T000185,2025-03-02,CUN,P006,2,12.0
V000188,T000188,2025-03-02,CUN,P063,3,45.0
V000189,T000188,2025-03-02,CUN,P060,1,850.0
V000190,T000188,2025-03-02,CUN,P006,1,12.0
V000191,T000191,2025-03-02,CUN,P013,2,45.0
V000192,T000192,2025-03-02,CUN,P022,1,150.0
V000193,T000192,2025-03-02,CUN,P023,2,40.0
V000194,T000192,2025-03-02,CUN,P008,3,180.0
V000195,T000195,2025-03-02,MID,P011,3,210.0
V000196,T000196,2025-03-02,MID,P102,1,45.0
V000197,T000197,2025-03-02,MID,P020,2,55.0
V000198,T000197,2025-03-02,MID,P023,3,40.0
V000199,T000199,2025-03-02,MID,P040,1,1450.0
V000200,T000199,2025-03-02,MID,P063,2,45.0
V000201,T000201,2025-03-02,MID,P080,1,280.0
V000202,T000201,2025-03-02,MID,P062,3,320.0
V000203,T000203,2025-03-02,MID,P008,2,180.0
V000204,T000204,2025-03-02,MID,P029,3,95.0
V000205,T000205,2025-03-02,MID,P062,2,320.0
V000206,T000206,2025-03-02,MID,P063,2,45.0
V000207,T000206,2025-03-02,MID,P060,3,850.0
V000208,T000208,2025-03-02,MID,P022,3,150.0
V000209,T000208,2025-03-02,MID,P023,1,40.0
V000210,T000210,2025-03-02,MID,P061,2,165.0
V000211,T000211,2025-03-02,MID,P086,1,650.0
V000212,T000212,2025-03-02,CHI,P021,2,85.0
V000213,T000212,2025-03-02,CHI,P023,2,40.0
V000214,T000212,2025-03-02,CHI,P029,2,95.0
V000215,T000215,2025-03-02,CHI,P028,1,180.0
V000216,T000215,2025-03-02,CHI,P086,2,650.0
V000217,T000217,2025-03-02,CHI,P042,3,28.0
V000218,T000217,2025-03-02,CHI,P043,1,18.0
V000219,T000217,2025-03-02,CHI,P101,2,35.0
V000220,T000220,2025-03-02,CHI,P041,2,35.0
V000221,T000220,2025-03-02,CHI,P043,2,18.0
V000222,T000220,2025-03-02,CHI,P065,1,30.0
V000223,T000223,2025-03-02,CHI,P081,2,65.0
V000224,T000224,2025-03-02,CHI,P006,1,12.0
V000225,T000224,2025-03-02,CHI,P029,1,95.0
V000226,T000226,2025-03-02,CHI,P030,2,180.0
V000227,T000226,2025-03-02,CHI,P044,3,22.0
V000228,T000228,2025-03-02,CHI,P029,1,95.0
V000229,T000229,2025-03-02,CHI,P041,1,35.0
V000230,T000229,2025-03-02,CHI,P043,3,18.0
V000231,T000229,2025-03-02,CHI,P012,2,980.0
V000232,T000232,2025-03-02,CHI,P084,2,18.0
V000233,T000232,2025-03-02,CHI,P020,1,55.0
V000234,T000234,2025-03-02,CHI,P101,1,35.0
V000235,T000235,2025-03-02,CHI,P106,1,55.0
V000236,T000235,2025-03-02,CHI,P020,1,55.0
V000237,T000237,2025-03-02,CHI,P100,1,1250.0
V000238,T000237,2025-03-02,CHI,P102,2,45.0
V000239,T000237,2025-03-02,CHI,P004,1,6.0
V000240,T000240,2025-03-02,CHI,P009,2,85.0
V000241,T000241,2025-03-02,CHI,P020,2,55.0
V000242,T000241,2025-03-02,CHI,P023,2,40.0
V000243,T000243,2025-03-02,CHI,P012,1,980.0
V000244,T000244,2025-03-02,CHI,P046,2,280.0
V000245,T000244,2025-03-02,CHI,P005,1,65.0
V000246,T000246,2025-03-02,CHI,P083,2,65.0
V000247,T000246,2025-03-02,CHI,P009,1,85.0
V000248,T000248,2025-03-02,CHI,P041,2,35.0
V000249,T000248,2025-03-02,CHI,P043,2,18.0
V000250,T000248,2025-03-02,CHI,P080,2,280.0
V000251,T000251,2025-03-02,CHI,P100,1,1250.0
V000252,T000251,2025-03-02,CHI,P102,2,45.0
V000253,T000253,2025-03-02,CHI,P026,1,65.0
V000254,T000254,2025-03-02,CDMX,P007,1,95.0
V000255,T000255,2025-03-02,CDMX,P023,1,40.0
V000256,T000256,2025-03-02,CDMX,P100,2,1250.0
V000257,T000256,2025-03-02,CDMX,P102,3,45.0
V000258,T000256,2025-03-02,CDMX,P001,2,145.0
V000259,T000259,2025-03-02,CDMX,P003,3,8.5
V000260,T000259,2025-03-02,CDMX,P064,2,38.0
V000261,T000261,2025-03-02,CDMX,P041,3,35.0
V000262,T000261,2025-03-02,CDMX,P043,2,18.0
V000263,T000263,2025-03-02,CDMX,P013,3,45.0
V000264,T000263,2025-03-02,CDMX,P045,1,45.0
V000265,T000265,2025-03-02,CDMX,P105,1,145.0
V000266,T000265,2025-03-02,CDMX,P005,2,65.0
V000267,T000267,2025-03-02,CDMX,P063,2,45.0
V000268,T000268,2025-03-02,CDMX,P042,1,28.0
V000269,T000268,2025-03-02,CDMX,P043,2,18.0
V000270,T000270,2025-03-02,CDMX,P044,2,22.0
V000271,T000270,2025-03-02,CDMX,P003,3,8.5
V000272,T000272,2025-03-02,CDMX,P042,3,28.0
V000273,T000272,2025-03-02,CDMX,P043,2,18.0
V000274,T000272,2025-03-02,CDMX,P020,2,55.0
V000275,T000275,2025-03-02,CDMX,P101,1,35.0
V000276,T000276,2025-03-02,CDMX,P101,2,35.0
V000277,T000277,2025-03-02,CDMX,P044,1,22.0
V000278,T000278,2025-03-02,CDMX,P043,2,18.0
V000279,T000279,2025-03-02,CDMX,P046,3,280.0
V000280,T000279,2025-03-02,CDMX,P026,1,65.0
V000281,T000281,2025-03-02,CDMX,P028,3,180.0
V000282,T000281,2025-03-02,CDMX,P042,2,28.0
V000283,T000283,2025-03-02,MTY,P003,1,8.5
V000284,T000283,2025-03-02,MTY,P025,1,35.0
V000285,T000285,2025-03-02,MTY,P041,1,35.0
V000286,T000286,2025-03-02,MTY,P061,2,165.0
V000287,T000286,2025-03-02,MTY,P004,1,6.0
V000288,T000288,2025-03-02,MTY,P047,1,95.0
V000289,T000289,2025-03-02,MTY,P100,3,1250.0
V000290,T000289,2025-03-02,MTY,P102,2,45.0
V000291,T000289,2025-03-02,MTY,P024,1,6.0
V000292,T000292,2025-03-02,MTY,P041,1,35.0
V000293,T000292,2025-03-02,MTY,P043,2,18.0
V000294,T000294,2025-03-02,MTY,P064,1,38.0
V000295,T000294,2025-03-02,MTY,P061,2,165.0
V000296,T000294,2025-03-02,MTY,P107,1,165.0
V000297,T000297,2025-03-02,MTY,P010,2,120.0
V000298,T000297,2025-03-02,MTY,P065,3,30.0
V000299,T000299,2025-03-02,MTY,P100,1,1250.0
V000300,T000299,2025-03-02,MTY,P101,2,35.0
V000301,T000301,2025-03-02,MTY,P040,3,1450.0
V000302,T000301,2025-03-02,MTY,P048,1,180.0
V000303,T000303,2025-03-02,MTY,P024,2,6.0
V000304,T000304,2025-03-02,MTY,P100,3,1250.0
V000305,T000304,2025-03-02,MTY,P102,1,45.0
V000306,T000304,2025-03-02,MTY,P001,2,145.0
V000307,T000307,2025-03-02,MTY,P082,2,25.0
V000308,T000307,2025-03-02,MTY,P009,2,85.0
V000309,T000309,2025-03-02,MTY,P100,2,1250.0
V000310,T000309,2025-03-02,MTY,P102,2,45.0
V000311,T000311,2025-03-02,MTY,P013,1,45.0
V000312,T000312,2025-03-02,MTY,P021,2,85.0
V000313,T000313,2025-03-02,MTY,P100,2,1250.0
V000314,T000313,2025-03-02,MTY,P101,2,35.0
V000315,T000315,2025-03-02,MTY,P103,1,120.0
V000316,T000316,2025-03-02,MTY,P003,1,8.5
V000317,T000316,2025-03-02,MTY,P106,1,55.0
V000318,T000318,2025-03-02,MTY,P044,1,22.0
V000319,T000318,2025-03-02,MTY,P102,3,45.0
V000320,T000320,2025-03-02,MTY,P022,1,150.0
V000321,T000320,2025-03-02,MTY,P023,1,40.0
V000322,T000320,2025-03-02,MTY,P081,2,65.0
V000323,T000323,2025-03-03,CUN,P006,2,12.0
V000324,T000324,2025-03-03,CUN,P060,1,850.0
V000325,T000325,2025-03-03,CUN,P022,1,150.0
V000326,T000326,2025-03-03,CUN,P100,3,1250.0
V000327,T000326,2025-03-03,CUN,P106,3,55.0
V000328,T000328,2025-03-03,CUN,P044,1,22.0
V000329,T000328,2025-03-03,CUN,P025,1,35.0
V000330,T000330,2025-03-03,CUN,P020,1,55.0
V000331,T000330,2025-03-03,CUN,P023,1,40.0
V000332,T000330,2025-03-03,CUN,P027,2,320.0
V000333,T000333,2025-03-03,CUN,P002,2,180.0
V000334,T000333,2025-03-03,CUN,P046,2,280.0
V000335,T000335,2025-03-03,CUN,P047,1,95.0
V000336,T000336,2025-03-03,CUN,P042,2,28.0
V000337,T000336,2025-03-03,CUN,P043,1,18.0
V000338,T000336,2025-03-03,CUN,P060,3,850.0
V000339,T000339,2025-03-03,CUN,P005,2,65.0
V000340,T000339,2025-03-03,CUN,P027,1,320.0
V000341,T000341,2025-03-03,CUN,P043,2,18.0
V000342,T000342,2025-03-03,CUN,P013,2,45.0
V000343,T000343,2025-03-03,CUN,P064,2,38.0
V000344,T000343,2025-03-03,CUN,P061,1,165.0
V000345,T000345,2025-03-03,CUN,P025,2,35.0
V000346,T000345,2025-03-03,CUN,P084,1,18.0
V000347,T000347,2025-03-03,CUN,P020,3,55.0
V000348,T000347,2025-03-03,CUN,P023,2,40.0
V000349,T000349,2025-03-03,CUN,P025,1,35.0
V000350,T000350,2025-03-03,CUN,P029,1,95.0
V000351,T000350,2025-03-03,CUN,P021,3,85.0
V000352,T000352,2025-03-03,CUN,P102,1,45.0
V000353,T000353,2025-03-03,CUN,P080,1,280.0
V000354,T000354,2025-03-03,MID,P064,1,38.0
V000355,T000354,2025-03-03,MID,P010,1,120.0
V000356,T000356,2025-03-03,MID,P012,1,980.0
V000357,T000356,2025-03-03,MID,P080,2,280.0
V000358,T000358,2025-03-03,MID,P024,1,6.0
V000359,T000359,2025-03-03,MID,P046,1,280.0
V000360,T000360,2025-03-03,MID,P028,2,180.0
V000361,T000361,2025-03-03,MID,P010,1,120.0
V000362,T000362,2025-03-03,MID,P086,2,650.0
V000363,T000363,2025-03-03,MID,P104,1,95.0
V000364,T000364,2025-03-03,MID,P001,1,145.0
V000365,T000364,2025-03-03,MID,P009,3,85.0
V000366,T000366,2025-03-03,MID,P023,3,40.0
V000367,T000367,2025-03-03,MID,P007,2,95.0
V000368,T000368,2025-03-03,MID,P100,3,1250.0
V000369,T000368,2025-03-03,MID,P102,1,45.0
V000370,T000368,2025-03-03,MID,P046,3,280.0
V000371,T000371,2025-03-03,MID,P084,1,18.0
V000372,T000371,2025-03-03,MID,P030,1,180.0
V000373,T000373,2025-03-03,MID,P026,1,65.0
V000374,T000374,2025-03-03,MID,P100,3,1250.0
V000375,T000374,2025-03-03,MID,P102,3,45.0
V000376,T000374,2025-03-03,MID,P040,3,1450.0
V000377,T000377,2025-03-03,MID,P042,3,28.0
V000378,T000378,2025-03-03,MID,P064,2,38.0
V000379,T000378,2025-03-03,MID,P061,2,165.0
V000380,T000380,2025-03-03,MID,P012,1,980.0
V000381,T000381,2025-03-03,MID,P022,1,150.0
V000382,T000382,2025-03-03,MID,P030,3,180.0
V000383,T000383,2025-03-03,CHI,P042,2,28.0
V000384,T000383,2025-03-03,CHI,P043,1,18.0
V000385,T000383,2025-03-03,CHI,P007,3,95.0
V000386,T000386,2025-03-03,CHI,P020,1,55.0
V000387,T000386,2025-03-03,CHI,P023,2,40.0
V000388,T000386,2025-03-03,CHI,P026,1,65.0
V000389,T000389,2025-03-03,CHI,P100,1,1250.0
V000390,T000389,2025-03-03,CHI,P102,1,45.0
V000391,T000389,2025-03-03,CHI,P020,1,55.0
V000392,T000392,2025-03-03,CHI,P065,1,30.0
V000393,T000392,2025-03-03,CHI,P086,1,650.0
V000394,T000394,2025-03-03,CHI,P104,1,95.0
V000395,T000394,2025-03-03,CHI,P062,1,320.0
V000396,T000396,2025-03-03,CHI,P041,1,35.0
V000397,T000396,2025-03-03,CHI,P043,1,18.0
V000398,T000398,2025-03-03,CHI,P022,2,150.0
V000399,T000398,2025-03-03,CHI,P023,1,40.0
V000400,T000400,2025-03-03,CHI,P046,2,280.0
V000401,T000400,2025-03-03,CHI,P028,1,180.0
V000402,T000402,2025-03-03,CHI,P021,1,85.0
V000403,T000403,2025-03-03,CHI,P082,2,25.0
V000404,T000404,2025-03-03,CHI,P002,2,180.0
V000405,T000404,2025-03-03,CHI,P041,2,35.0
V000406,T000406,2025-03-03,CHI,P047,2,95.0
V000407,T000407,2025-03-03,CHI,P021,1,85.0
V000408,T000407,2025-03-03,CHI,P023,1,40.0
V000409,T000407,2025-03-03,CHI,P009,2,85.0
V000410,T000410,2025-03-03,CDMX,P085,2,980.0
V000411,T000410,2025-03-03,CDMX,P107,1,165.0
V000412,T000412,2025-03-03,CDMX,P065,1,30.0
V000413,T000412,2025-03-03,CDMX,P082,3,25.0
V000414,T000414,2025-03-03,CDMX,P102,1,45.0
V000415,T000415,2025-03-03,CDMX,P021,2,85.0
V000416,T000415,2025-03-03,CDMX,P086,2,650.0
V000417,T000417,2025-03-03,CDMX,P027,1,320.0
V000418,T000417,2025-03-03,CDMX,P063,1,45.0
V000419,T000419,2025-03-03,CDMX,P046,1,280.0
V000420,T000419,2025-03-03,CDMX,P086,2,650.0
V000421,T000421,2025-03-03,CDMX,P063,2,45.0
V000422,T000421,2025-03-03,CDMX,P060,1,850.0
V000423,T000423,2025-03-03,CDMX,P062,3,320.0
V000424,T000424,2025-03-03,CDMX,P063,2,45.0
V000425,T000424,2025-03-03,CDMX,P060,3,850.0
V000426,T000426,2025-03-03,CDMX,P042,1,28.0
V000427,T000426,2025-03-03,CDMX,P043,1,18.0
V000428,T000428,2025-03-03,CDMX,P020,1,55.0
V000429,T000428,2025-03-03,CDMX,P041,1,35.0
V000430,T000430,2025-03-03,CDMX,P030,1,180.0
V000431,T000430,2025-03-03,CDMX,P023,2,40.0
V000432,T000432,2025-03-03,CDMX,P102,2,45.0
V000433,T000433,2025-03-03,CDMX,P062,3,320.0
V000434,T000433,2025-03-03,CDMX,P104,1,95.0
V000435,T000435,2025-03-03,CDMX,P042,1,28.0
V000436,T000435,2025-03-03,CDMX,P043,1,18.0
V000437,T000437,2025-03-03,CDMX,P002,2,180.0
V000438,T000438,2025-03-03,CDMX,P020,2,55.0
V000439,T000438,2025-03-03,CDMX,P023,2,40.0
V000440,T000438,2025-03-03,CDMX,P044,2,22.0
V000441,T000441,2025-03-03,CDMX,P063,2,45.0
V000442,T000441,2025-03-03,CDMX,P060,2,850.0
V000443,T000441,2025-03-03,CDMX,P025,1,35.0
V000444,T000444,2025-03-03,MTY,P022,1,150.0
V000445,T000444,2025-03-03,MTY,P023,3,40.0
V000446,T000446,2025-03-03,MTY,P100,2,1250.0
V000447,T000446,2025-03-03,MTY,P101,2,35.0
V000448,T000448,2025-03-03,MTY,P024,1,6.0
V000449,T000448,2025-03-03,MTY,P043,2,18.0
V000450,T000450,2025-03-03,MTY,P100,1,1250.0
V000451,T000450,2025-03-03,MTY,P101,1,35.0
V000452,T000452,2025-03-03,MTY,P020,1,55.0
V000453,T000452,2025-03-03,MTY,P023,1,40.0
V000454,T000452,2025-03-03,MTY,P024,1,6.0
V000455,T000455,2025-03-03,MTY,P021,1,85.0
V000456,T000455,2025-03-03,MTY,P023,1,40.0
V000457,T000455,2025-03-03,MTY,P066,2,55.0
V000458,T000458,2025-03-03,MTY,P021,3,85.0
V000459,T000459,2025-03-03,MTY,P005,2,65.0
V000460,T000459,2025-03-03,MTY,P066,1,55.0
V000461,T000461,2025-03-03,MTY,P005,2,65.0
V000462,T000462,2025-03-03,MTY,P041,2,35.0
V000463,T000463,2025-03-03,MTY,P064,2,38.0
V000464,T000463,2025-03-03,MTY,P061,2,165.0
V000465,T000463,2025-03-03,MTY,P025,3,35.0
V000466,T000466,2025-03-03,MTY,P006,2,12.0
V000467,T000466,2025-03-03,MTY,P007,2,95.0
V000468,T000468,2025-03-03,MTY,P006,3,12.0
V000469,T000469,2025-03-03,MTY,P063,1,45.0
V000470,T000469,2025-03-03,MTY,P060,2,850.0
V000471,T000471,2025-03-03,MTY,P060,1,850.0
V000472,T000472,2025-03-03,MTY,P002,1,180.0
V000473,T000472,2025-03-03,MTY,P021,2,85.0
V000474,T000474,2025-03-03,MTY,P021,2,85.0
V000475,T000474,2025-03-03,MTY,P023,2,40.0
V000476,T000474,2025-03-03,MTY,P081,2,65.0
V000477,T000477,2025-03-03,MTY,P044,2,22.0
V000478,T000478,2025-03-03,MTY,P066,1,55.0
V000479,T000478,2025-03-03,MTY,P106,1,55.0
V000480,T000480,2025-03-03,MTY,P046,1,280.0
V000481,T000480,2025-03-03,MTY,P024,2,6.0
V000482,T000482,2025-03-03,MTY,P100,1,1250.0
V000483,T000482,2025-03-03,MTY,P102,1,45.0
V000484,T000482,2025-03-03,MTY,P040,1,1450.0
V000485,T000485,2025-03-03,MTY,P005,1,65.0
V000486,T000486,2025-03-04,CUN,P040,3,1450.0
V000487,T000486,2025-03-04,CUN,P046,1,280.0
V000488,T000488,2025-03-04,CUN,P104,1,95.0
V000489,T000489,2025-03-04,CUN,P100,1,1250.0
V000490,T000489,2025-03-04,CUN,P101,2,35.0
V000491,T000491,2025-03-04,CUN,P063,1,45.0
V000492,T000491,2025-03-04,CUN,P060,2,850.0
V000493,T000493,2025-03-04,CUN,P003,2,8.5
V000494,T000493,2025-03-04,CUN,P030,2,180.0
